city,fuel_type,body_type,transmission,owner_count,brand,model,variant,car_age,price_numeric,km_numeric,engine_cc,mileage_numeric,max_power_numeric,torque_numeric,spec_seats
Bangalore,Petrol,Hatchback,Manual,3,Maruti,Maruti Celerio,VXI,9,400000.0,120000,998.0,23.1,67.04,90.0,5.0
Bangalore,Petrol,SUV,Manual,2,Ford,Ford Ecosport,1.5 Petrol Titanium BSIV,6,811000.0,32706,1497.0,17.0,121.31,150.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,1.2 Revotron XZ,6,585000.0,11949,1199.0,23.84,84.0,114.0,5.0
Bangalore,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,1.2 Kappa S Option,10,462000.0,17794,1197.0,19.1,81.86,113.75,5.0
Bangalore,Diesel,SUV,Manual,1,Maruti,Maruti SX4 S Cross,DDiS 200 Zeta,9,790000.0,60000,1248.0,23.65,88.5,200.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Datsun,Datsun GO,T Option BSIV,7,345000.0,37772,1198.0,20.63,67.0,104.0,5.0
Bangalore,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,SX Plus Turbo DCT BSIV,3,1200000.0,30000,998.0,18.15,118.35,171.6,5.0
Bangalore,Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,Alpha Automatic BSIV,6,960000.0,37000,1462.0,20.28,103.25,138.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,1.2 Revotron XZ WO Alloy,7,585000.0,11949,1199.0,23.84,84.0,114.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,1.2 Delta,6,690000.0,50000,1197.0,21.4,83.1,115.0,5.0
Bangalore,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,1.2 Kappa Sportz Option AT,5,682000.0,24887,1197.0,18.9,81.86,113.75,5.0
Bangalore,Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,VX CVT,6,825000.0,23000,1199.0,18.2,88.7,110.0,5.0
Bangalore,Petrol,Hatchback,Automatic,1,Tata,Tata Tiago,1.2 Revotron XZA,6,595000.0,48928,1199.0,23.84,83.83,114.0,5.0
Bangalore,Diesel,SUV,Manual,3,Mahindra,Mahindra XUV500,W6 2WD,10,690000.0,108862,2179.0,15.1,140.0,330.0,7.0
