city,owner_count,brand,model,car_age,km_numeric,engine_cc,mileage_numeric,max_power_numeric,torque_numeric,spec_seats,fuel_type_Diesel,fuel_type_Electric,fuel_type_Lpg,fuel_type_Petrol,transmission_Manual,body_type_Coupe,body_type_Hatchback,body_type_MUV,body_type_Minivans,body_type_Pickup Trucks,body_type_SUV,body_type_Sedan,body_type_Wagon
2,-0.5790571390058774,9,81,-1.212168894704671,-1.0253967426519663,-0.882852032779049,0.16551260658390027,0.7922177909535103,0.24800538385823614,-0.2683633028080141,False,False,False,True,False,False,True,False,False,False,False,False,False
3,-0.5790571390058774,19,126,-0.18907753485460413,-0.24907323849634422,-0.36221954802551876,0.4569135608702596,-0.36949100025272935,-0.4803207441658442,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
2,-0.5790571390058774,22,170,1.345559504920496,0.5217249401018023,2.680471807594359,-2.102346994166464,2.4895430964853684,0.937998557775786,-0.2683633028080141,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0.9382256199399192,9,79,1.0897866649579793,0.643831582255964,-0.36221954802551876,-0.2779236281996906,-0.3777160695759114,-0.49693169094534073,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
0,-0.5790571390058774,9,75,1.6013323448830128,-0.5772348392856541,0.689510396049452,-0.8607255367724101,0.29180457333111165,-1.75936364618708,-0.2683633028080141,False,False,False,True,True,False,False,False,False,False,False,True,False
4,-0.5790571390058774,9,66,-0.4448503748171208,0.18593167417785725,-0.36221954802551876,-0.17656677453487016,-0.4102873440957124,-0.4962928083768986,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
0,-0.5790571390058774,19,129,-0.18907753485460413,-0.53339855475231,-0.882852032779049,0.8876801889457485,-0.897869453573947,-0.7997620283869321,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
0,-0.5790571390058774,19,148,-0.9563960547421543,0.643831582255964,-0.36221954802551876,0.40876905537947034,-0.4122613607332762,-0.5058760469035313,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
2,-0.5790571390058774,8,53,0.32246814507042926,0.18593167417785725,0.42265354456774296,-0.4046196952807165,0.7556984831585818,-0.09699120310053877,-0.2683633028080141,False,False,False,True,False,False,False,False,False,False,False,True,False
3,-0.5790571390058774,15,95,-0.9563960547421543,-1.4930346554418676,0.3023063370367762,-2.0085919045265053,1.5354350549962448,1.2446621906280304,1.3687904665274422,False,False,False,True,False,False,False,False,False,False,True,False,False
0,-0.5790571390058774,9,79,0.06669530510791256,-0.19348418965566205,-0.36221954802551876,-0.25258441478348503,-0.4112743524144943,-0.4841540395764972,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
0,-0.5790571390058774,19,124,-1.212168894704671,-1.26814474725444,-1.411333248458512,0.6216184480755939,-1.5463339190136238,-1.0680927071326458,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
1,-0.5790571390058774,9,78,0.8340138249954626,1.6423891751321607,-0.36221954802551876,0.19338574134172584,-0.5076721648821882,-0.5212092285461435,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
0,0.9382256199399192,1,13,0.32246814507042926,-0.30249489443879,1.7255428782725575,-0.6453422227346657,2.950146978583566,2.9057568685776873,-0.2683633028080141,True,False,False,False,False,False,False,False,False,False,True,False,False
3,0.9382256199399192,11,85,0.8340138249954626,0.3385649768705595,2.2069317083964246,-0.8201827953064817,3.0718780045666607,3.8001924643967335,-0.2683633028080141,True,False,False,False,False,False,False,False,False,False,False,True,False
2,0.9382256199399192,23,174,0.32246814507042926,-0.20716013357692817,-0.3596033043835412,-0.065074235503567,-0.6030829690311007,-0.6208749092231228,-0.2683633028080141,False,False,False,True,False,False,True,False,False,False,False,False,False
1,0.9382256199399192,1,8,0.32246814507042926,1.529104737873637,1.7255428782725575,-0.18163461721811108,2.950146978583566,2.9057568685776873,-0.2683633028080141,True,False,False,False,False,False,False,False,False,False,False,True,False
4,-0.5790571390058774,12,87,-0.4448503748171208,2.2162903932567213,1.6235093762354333,-0.6326726160265629,2.4895430964853684,2.5224273275123816,-0.2683633028080141,True,False,False,False,True,False,False,False,False,False,True,False,False
1,-0.5790571390058774,9,74,-1.4679417346671877,-1.1877680500564631,-0.882852032779049,-0.3666108751564091,0.7922177909535103,0.24800538385823614,-0.2683633028080141,False,False,False,True,True,False,False,False,False,False,True,False,False
4,-0.5790571390058774,16,97,-1.4679417346671877,-1.4930346554418676,3.1069195212366982,-0.9114039636048203,-0.6330222213674834,0.6057796221858546,-0.2683633028080141,True,False,False,False,True,False,False,False,False,True,False,False,False
5,-0.5790571390058774,8,53,-0.7006232147796375,-0.44905339168432273,0.42265354456774296,-0.556654975777948,0.7655685663464002,-0.09699120310053877,-0.2683633028080141,False,False,False,True,True,False,False,False,False,False,False,True,False
3,-0.5790571390058774,27,212,-1.4679417346671877,-1.4930346554418676,-0.3569870607415637,-0.2019059879510748,-0.2533530214093981,-0.4803207441658442,-0.2683633028080141,False,False,False,True,False,False,False,False,False,False,True,False,False
2,-0.5790571390058774,19,124,0.32246814507042926,-0.6845971043997008,-1.411333248458512,0.6216184480755939,-1.5463339190136238,-1.0680927071326458,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
1,-0.5790571390058774,8,49,-0.4448503748171208,-1.6997612006088636,-0.3569870607415637,-0.37928048186451097,-0.18524944741345004,-0.5442090010100618,-0.2683633028080141,False,False,False,True,False,False,False,False,False,False,False,True,False
5,0.9382256199399192,19,123,1.0897866649579793,-1.4154664110134363,-1.411333248458512,0.02614693279477154,-1.5802212046251343,-1.1575362667145506,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
4,-0.5790571390058774,15,94,-0.9563960547421543,0.03329837148515498,1.6235093762354333,-0.5541210544363271,2.4132144531662387,2.5224273275123816,-0.2683633028080141,True,False,False,False,True,False,False,False,False,False,True,False,False
